Costo de inmueble (Lote/Terreno),1º
Ubicacion de la urbanizacion,2º
Seguridad de la zona,3º
Por el Prestigio y el respaldo de la empresa Inmobiliaria,4º
Por la seguridad de la urbanización,5º
Por las áreas verdes que nos ofrecen,6º
Facilidad de acceso a la zona,70
Privacidad de la zona,8º
Área de los Lotes/ terrenos,90
Facilidad de pago/financiamiento,10º
Monto de cuota inicial,11º
Por la publicidad de Los Portales,12º
El clima,13º
Cercanía a donde residen los familiares/amigos,
Cercania al trabajo,15°
Porque a mi familia le gusto el proyecto,16º
Por referencias o recomendaciones de familiares,170
